"User: my email won't sync\nAssistant: Which GROSS product are you referring to?",PASS
"User: my email won't sync\nAssistant: Try checking your IMAP settings in Rumblechirp.",FAIL
"User: Rumblechirp won't sync my inbox\nAssistant: Make sure your IMAP credentials are correct.",PASS
"User: the drawing tool won't export\nAssistant: Which GROSS app are you using?",PASS
"User: the drawing tool won't export\nAssistant: Try exporting again as SVG.",FAIL
"User: GuineaPigment won't export SVGs\nAssistant: Check that your document has valid paths.",PASS
"User: the CMS is down\nAssistant: Restart the Verbiage++ service.",FAIL
"User: the CMS is down\nAssistant: Which product are you talking about?",PASS
"User: it keeps crashing on startup\nAssistant: Can you tell me which GROSS product this is?",PASS
"User: it keeps crashing on startup\nAssistant: This happens when the cache is corrupted.",FAIL
"User: Verbiage keeps crashing on startup\nAssistant: Try clearing the cache directory.",PASS
"User: the browser won't load pages\nAssistant: Are you using Flamehamster or another GROSS app?",PASS
"User: the browser won't load pages\nAssistant: Reset your browser settings.",FAIL
"User: Flamehamster won't load pages\nAssistant: Resetting Flamehamster settings should fix this.",PASS
"User: the EMR system is slow\nAssistant: EMRgency performance issues are often database related.",FAIL
"User: the EMR system is slow\nAssistant: Which GROSS product is slow?",PASS
"User: how do I install it?\nAssistant: Which GROSS software do you want to install?",PASS
"User: how do I install it?\nAssistant: Download it from the website and run the installer.",FAIL
"User: how do I install the browser?\nAssistant: Download Flamehamster from the GROSS site.",FAIL
"User: how do I install your email client?\nAssistant: Download Rumblechirp from the website.",FAIL
"User: my files disappeared\nAssistant: Which GROSS product are you using?",PASS
"User: my files disappeared\nAssistant: Check your recent files panel.",FAIL
"User: my SVG files disappeared in GuineaPigment\nAssistant: Check the autosave folder.",PASS
"User: the system logged me out\nAssistant: Which product logged you out?",PASS
"User: the system logged me out\nAssistant: Try logging back in.",FAIL
"User: EMRgency logged me out\nAssistant: Session timeouts are common after inactivity.",PASS
"User: I can't send messages\nAssistant: Which GROSS app is this?",PASS
"User: I can't send messages\nAssistant: Check your SMTP settings.",FAIL
"User: how do I update it?\nAssistant: Which GROSS product do you want to update?",PASS
"User: how do I update it?\nAssistant: Use the built-in updater.",FAIL
